tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***73459,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0001,N/S,LOWTHER AVE,E/O,HURON ST,ON
***73460,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0003,E/S,HURON ST,N/O,BLOOR ST W,ON
***88261,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0003,OPP,28 EDWARD ST,,,ON
***73461,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0004,E/S,HURON ST,N/O,BLOOR ST W,ON
***93989,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0005,NR,3 LOWER JARVIS ST,,,ON
***40169,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0006,NR,3 LOWER JARVIS ST,,,ON
***11672,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0006,NR,7 PARLIAMENT ST,,,ON
***73462,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0006,E/S,HURON ST,N/O,BLOOR ST W,ON
***82284,20240101,14,PARK-OBSTRUCT (DRWAY/LANEWAY),50,0006,NR,54 EMERSON AVE,,,ON
***93990,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0006,NR,3 LOWER JARVIS ST,,,ON
***08670,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,219 OSSINGTON AVE,,,ON
***40170,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0007,NR,3 LOWER JARVIS ST,,,ON
***73463,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,E/S,HURON ST,N/O,BLOOR ST W,ON
***08671,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,219 OSSINGTON AVE,,,ON
***73464,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0008,E/S,HURON ST,N/O,BLOOR ST W,ON
***08672,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,209 OSSINGTON AVE,,,ON
***11673,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0009,OPP,15 MERCHANTS' WHARF,,,ON
***73465,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0009,E/S,HURON ST,N/O,BLOOR ST W,ON
***08673,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,209 OSSINGTON AVE,,,ON
***17765,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0010,OPP,15 MERCHANTS' WHARF,,,ON
***73466,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0010,W/S,HURON ST,N/O,BLOOR ST W,ON
***08674,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,209 OSSINGTON AVE,,,ON
***08675,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,209 OSSINGTON AVE,,,ON
***17766,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0012,OPP,15 MERCHANTS' WHARF,,,ON
***73467,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0012,E/S,HURON ST,N/O,BLOOR ST W,ON
***82523,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0012,NR,550 BROADVIEW AVE,,,ON
***08676,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,209 OSSINGTON AVE,,,ON
***17767,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0013,OPP,15 MERCHANTS' WHARF,,,ON
***73468,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0013,E/S,HURON ST,N/O,BLOOR ST W,ON
***82285,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,48 EMERSON AVE,,,ON
***08677,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,209 OSSINGTON AVE,,,ON
***81577,20240101,192,STAND SIGNED TRANSIT STOP,150,0014,NR,550 BROADVIEW AVE,,,ON
***40171,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0014,OPP,25 DOCKSIDE DR,,,ON
***61166,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0014,OPP,55 WOODSTREAM DR,,,ON
***17768,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0014,OPP,15 MERCHANTS' WHARF,,,ON
***73469,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0014,E/S,HURON ST,N/O,BLOOR ST W,ON
***82524,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0014,NR,550 BROADVIEW AVE,,,ON
***57353,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0015,N/S,DUNDAS ST W,W/S,YONGE ST,ON
***08678,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0015,NR,132 OSSINGTON AVE,,,ON
***17769,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0015,OPP,15 MERCHANTS' WHARF,,,ON
***73470,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0015,E/S,HURON ST,N/O,BLOOR ST W,ON
***82286,20240101,336,PARK-FAIL TO DISPLAY PERMIT,30,0015,NR,34 EMERSON AVE,,,ON
***82525,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0015,NR,550 BROADVIEW AVE,,,ON
***93991,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0015,NR,25 DOCKSIDE DR,,,ON
***08679,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0016,NR,132 OSSINGTON AVE,,,ON
***17770,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0016,NR,15 MERCHANTS' WHARF,,,ON
***23965,20240101,3,PARK ON PRIVATE PROPERTY,75,0017,AT,456 COLLEGE ST,,,ON
***23966,20240101,3,PARK ON PRIVATE PROPERTY,75,0017,AT,456 COLLEGE ST,,,ON
***08680,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,154 OSSINGTON AVE,,,ON
***33520,20240101,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,0018,NR,105 LAKE CRES,,,ON
***73471,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0018,S/S,PRINCE ARTHUR AVE,E/O,HURON ST,ON
***82287,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,30 EMERSON AVE,,,ON
***00669,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0018,NR,25 DOCKSIDE DR,,,ON
***08681,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,166 OSSINGTON AVE,,,ON
***08682,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,166 OSSINGTON AVE,,,ON
***82526,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0021,NR,362 BROADVIEW AVE,,,ON
***08683,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0022,NR,170 OSSINGTON AVE,,,ON
***08684,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,170 OSSINGTON AVE,,,ON
***73719,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0024,N/S,COSBURN AVE,W/O,PAPE AVE,ON
***24204,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,177 PRESCOTT AVE,,,ON
***73472,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0025,E/S,MADISON AVE,N/O,BLOOR ST W,SK
***83779,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0025,OPP,106 BROADVIEW AVE,,,ON
***08685,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,170 OSSINGTON AVE,,,ON
***73473,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0026,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***73474,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0027,E/S,MADISON AVE,N/O,BLOOR ST W,PA
***23967,20240101,3,PARK ON PRIVATE PROPERTY,75,0028,AT,735 COLLEGE ST,,,ON
***73475,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0028,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***79805,20240101,3,PARK ON PRIVATE PROPERTY,75,0028,AT,333 SHERBOURNE ST,,,ON
***24205,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0028,NR,20 BLACKTHORN AVE,,,ON
***79427,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0029,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***79806,20240101,3,PARK ON PRIVATE PROPERTY,75,0029,AT,333 SHERBOURNE ST,,,ON
***79843,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0029,N/S,TORRENS AVE,E/O,PAPE AVE,ON
***83780,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0029,OPP,685 QUEEN ST E,,,ON
***08686,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0030,NR,184 OSSINGTON AVE,,,ON
***83781,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0030,OPP,685 QUEEN ST E,,,ON
***88262,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0030,R/O,260 ADELAIDE ST W,,,ON
***00670,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0030,NR,253 QUEENS QUAY E,,,ON
***08687,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,188 OSSINGTON AVE,,,ON
***88263,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0031,R/O,260 ADELAIDE ST W,,,MB
***24206,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,128 BLACKTHORN AVE,,,ON
***79428,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***88264,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0032,R/O,260 ADELAIDE ST W,,,ON
***33521,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0033,NR,1 PALACE PIER CRT,,,ON
***24868,20240101,134,PARK-SIGNED HWY-PUBLIC LANE,40,0033,W/S,VICTORIA STREET LANE,N/O,SHUTER ST,ON
***79429,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0033,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***83782,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0033,OPP,711 QUEEN ST E,,,ON
***24207,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0033,NR,216 BLACKTHORN AVE,,,ON
***81578,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0034,NR,717 QUEEN ST E,,,ON
***24869,20240101,134,PARK-SIGNED HWY-PUBLIC LANE,40,0034,W/S,VICTORIA STREET LANE,N/O,SHUTER ST,QC
***79430,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0034,E/S,MADISON AVE,N/O,BLOOR ST W,MN
***83783,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0034,OPP,711 QUEEN ST E,,,ON
***88265,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0034,R/O,260 ADELAIDE ST W,,,ON
***24870,20240101,134,PARK-SIGNED HWY-PUBLIC LANE,40,0035,W/S,VICTORIA STREET LANE,N/O,SHUTER ST,ON
***79431,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0035,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***83784,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0035,OPP,717 QUEEN ST E,,,ON
***79432,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0036,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***24208,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0036,NR,274 BLACKTHORN AVE,,,QC
***24871,20240101,134,PARK-SIGNED HWY-PUBLIC LANE,40,0037,W/S,VICTORIA STREET LANE,N/O,SHUTER ST,ON
***88266,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0037,R/O,260 ADELAIDE ST W,,,ON
***24872,20240101,320,PARK NON-BUS-BUS PK ZNE DY/TM,150,0038,NR,244 VICTORIA ST,,,ON
***45169,20240101,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,0038,NR,1 BROOKDALE AVE,,,ON
***79433,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0038,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***83785,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0038,OPP,1 GRANT ST,,,ON
***24873,20240101,320,PARK NON-BUS-BUS PK ZNE DY/TM,150,0039,NR,244 VICTORIA ST,,,NY
***79434,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0039,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***88267,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0039,R/O,260 ADELAIDE ST W,,,ON
***24874,20240101,320,PARK NON-BUS-BUS PK ZNE DY/TM,150,0040,NR,244 VICTORIA ST,,,ON
***79435,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0040,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***83786,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0040,NR,9 GRANT ST,,,ON
***24209,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0040,N/S,ALGARVE CRES,W/O,OLD WESTON RD,ON
***61167,20240101,49,FAIL TO PARK/STOP PARALL. RGHT,30,0041,NR,13 WOODSTREAM DR,,,ON
***79436,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0041,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***82288,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0041,NR,2243 DUNDAS ST W,,,ON
***24875,20240101,415,PARK COMMERC LOAD ZONE NOT LDG,40,0042,NR,21 DUNDAS SQ,,,ON
***24876,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0042,NR,21 DUNDAS SQ,,,ON
***83787,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,33 GRANT ST,,,ON
***24877,20240101,415,PARK COMMERC LOAD ZONE NOT LDG,40,0043,NR,21 DUNDAS SQ,,,ON
***24878,20240101,415,PARK COMMERC LOAD ZONE NOT LDG,40,0044,NR,21 DUNDAS SQ,,,ON
***24210,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0044,NR,43 ALGARVE CRES,,,ON
***30426,20240101,415,PARK COMMERC LOAD ZONE NOT LDG,40,0045,NR,21 DUNDAS SQ,,,ON
***30427,20240101,415,PARK COMMERC LOAD ZONE NOT LDG,40,0046,NR,21 DUNDAS SQ,,,ON
***00671,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0046,NR,15 MERCHANTS' WHARF,,,ON
***79437,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,E/S,MADISON AVE,N/O,BLOOR ST W,ON
***83788,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,9 LEWIS ST,,,ON
***24211,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0047,NR,25 ALGARVE CRES,,,ON
***40172,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0048,NR,23 MERCHANTS' WHARF,,,ON
***79438,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,N/S,LOWTHER AVE,W/O,MADISON AVE,ON
***93633,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0050,NR,77 HOWARD ST,,,ON
***79807,20240101,3,PARK ON PRIVATE PROPERTY,75,0050,AT,85 WELLESLEY ST E,,,ON
***83789,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0050,NR,27 LEWIS ST,,,ON
***93634,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0051,NR,77 HOWARD ST,,,ON
***79439,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0051,N/S,LOWTHER AVE,E/O,MADISON AVE,ON
***79808,20240101,3,PARK ON PRIVATE PROPERTY,75,0051,AT,85 WELLESLEY ST E,,,ON
***79809,20240101,3,PARK ON PRIVATE PROPERTY,75,0051,AT,85 WELLESLEY ST E,,,ON
***93635,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0052,NR,77 HOWARD ST,,,ON
***79440,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0052,N/S,LOWTHER AVE,E/O,MADISON AVE,ON
***79441,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0053,N/S,LOWTHER AVE,E/O,MADISON AVE,ON
***79442,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0054,N/S,LOWTHER AVE,E/O,MADISON AVE,ON
***83790,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0054,NR,73 LEWIS ST,,,ON
***23968,20240101,3,PARK ON PRIVATE PROPERTY,75,0056,AT,20 STEWART AVE,,,ON
***24707,20240101,3,PARK ON PRIVATE PROPERTY,75,0056,AT,320 MCCOWAN RD,,,ON
***79443,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0056,E/S,HURON ST,N/O,LOWTHER AVE,ON
***82279,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0056,NR,108 WILLIAM DUNCAN RD,,,ON
***83791,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0056,NR,75 LEWIS ST,,,ON
***24212,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0056,NR,721 OLD WESTON RD,,,ON
***24708,20240101,3,PARK ON PRIVATE PROPERTY,75,0057,AT,320 MCCOWAN RD,,,ON
***79444,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0057,E/S,HURON ST,N/O,LOWTHER AVE,ON
***00672,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0057,NR,3 LOWER JARVIS ST,,,ON
***24709,20240101,3,PARK ON PRIVATE PROPERTY,75,0058,AT,320 MCCOWAN RD,,,ON
***24710,20240101,3,PARK ON PRIVATE PROPERTY,75,0058,AT,320 MCCOWAN RD,,,ON
***24634,20240101,347,PARK IN A FIRE ROUTE,250,0059,,2597 KEELE STREET,,,ON
***30428,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0059,NR,32 EDWARD ST,,,ON
***40181,20240101,3,PARK ON PRIVATE PROPERTY,75,0100,,85 GILDER DR,,,ON
***81579,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0100,NR,741 QUEEN ST E,,,ON
***30429,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0100,NR,32 EDWARD ST,,,ON
***10927,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0101,NR,1 RUSSFAX DR,,,ON
***30430,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0101,NR,32 EDWARD ST,,,ON
***24635,20240101,347,PARK IN A FIRE ROUTE,250,0102,,2597 KEELE STREET,,,ON
***30431,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0102,OPP,32 EDWARD ST,,,ON
***30432,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0103,OPP,32 EDWARD ST,,,ON
***61168,20240101,3,PARK ON PRIVATE PROPERTY,75,0105,AT,2101 ISLINGTON AVE,,,ON
***61169,20240101,3,PARK ON PRIVATE PROPERTY,75,0105,AT,2101 ISLINGTON AVE,,,ON
***24636,20240101,347,PARK IN A FIRE ROUTE,250,0106,,2597 KEELE STREET,,,ON
***30433,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0106,NR,20 EDWARD ST,,,ON
***88268,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0108,NR,59 MC CAUL ST,,,ON
***52556,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0109,NR,53 MC CAUL ST,,,ON
***24637,20240101,347,PARK IN A FIRE ROUTE,250,0110,,2597 KEELE STREET,,,ON
***88269,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0110,NR,51 MC CAUL ST,,,ON
***52557,20240101,367,STND ONSTRT ACCESSIBLE NO PRMT,450,0112,NR,22 MC CAUL ST,,,ON
***08688,20240101,363,PARK ONSTRT ACCESSIBLE NO PRMT,450,0114,NR,159 BEACONSFIELD AVE,,,ON
***52558,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0114,NR,22 MC CAUL ST,,,ON
***20990,20240101,347,PARK IN A FIRE ROUTE,250,0115,,2737 KIPLING AVE,,,ON
***88270,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0116,NR,21 MC CAUL ST,,,ON
***33522,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0120,NR,105 EIGHTH ST,,,ON
***33523,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0123,NR,105 EIGHTH ST,,,BC
***79844,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0124,W/S,GALT AVE,S/O,GERRARD ST E,ON
***24638,20240101,3,PARK ON PRIVATE PROPERTY,75,0125,,2597 KEELE STREET,,,ON
***33524,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0125,NR,105 EIGHTH ST,,,ON
***79845,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0127,W/S,GALT AVE,S/O,GERRARD ST E,ON
***46974,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0128,OPP,92 VIA BAGNATO,,,ON
***33525,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0129,NR,30 EIGHTH ST,,,ON
***46975,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0129,OPP,92 VIA BAGNATO,,,ON
***79846,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0129,W/S,GALT AVE,S/O,GERRARD ST E,ON
***83792,20240101,192,STAND SIGNED TRANSIT STOP,150,0130,NR,1400 GERRARD ST E,,,ON
***24639,20240101,3,PARK ON PRIVATE PROPERTY,75,0131,,2597 KEELE STREET,,,ON
***81580,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0131,OPP,1392 GERRARD ST E,,,ON
***39374,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0132,NR,30 EIGHTH ST,,,ON
***79847,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0132,W/S,GALT AVE,S/O,GERRARD ST E,ON
***83793,20240101,192,STAND SIGNED TRANSIT STOP,150,0133,OPP,1386 GERRARD ST E,,,ON
***81581,20240101,192,STAND SIGNED TRANSIT STOP,150,0134,OPP,1386 GERRARD ST E,,,ON
***79848,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0134,W/S,GALT AVE,S/O,GERRARD ST E,ON
***83794,20240101,192,STAND SIGNED TRANSIT STOP,150,0135,OPP,1386 GERRARD ST E,,,ON
***79445,20240101,3,PARK ON PRIVATE PROPERTY,75,0136,AT,305 ROEHAMPTON AVE,,,ON
***79446,20240101,3,PARK ON PRIVATE PROPERTY,75,0137,AT,305 ROEHAMPTON AVE,,,QC
***79849,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0137,E/S,MARJORY AVE,S/O,GERRARD ST E,ON
***79447,20240101,3,PARK ON PRIVATE PROPERTY,75,0138,AT,305 ROEHAMPTON AVE,,,ON
***79850,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0138,E/S,MARJORY AVE,S/O,GERRARD ST E,ON
***81582,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0141,NR,246 HIGHFIELD RD,,,ON
***30434,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0141,OPP,28 EDWARD ST,,,ON
***83795,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0141,OPP,237 HIGHFIELD RD,,,ON
***88271,20240101,367,STND ONSTRT ACCESSIBLE NO PRMT,450,0141,OPP,40 GERALD ST,,,ON
***88272,20240101,367,STND ONSTRT ACCESSIBLE NO PRMT,450,0142,OPP,40 GERALD ST,,,ON
***08689,20240101,3,PARK ON PRIVATE PROPERTY,75,0143,AT,1 SHAW ST,,,OH
***39375,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0143,NR,22 SECOND ST,,,ON
***83796,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0143,W/S,HIGHFIELD RD,N/O,GERRARD ST E,NB
***08690,20240101,3,PARK ON PRIVATE PROPERTY,75,0145,AT,1 SHAW ST,,,ON
***79810,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0145,NR,122 SHUTER ST,,,ON
***58100,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0146,NR,615 KING ST W,,,ON
***73109,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0146,NR,615 KING ST W,,,QC
***79811,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0146,NR,122 SHUTER ST,,,ON
***81583,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0147,OPP,1346 HIGHFIELD RD,,,ON
***79812,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0147,NR,130 SHUTER ST,,,ON
***79851,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0147,S/S,AUSTIN AVE,W/O,MARJORY AVE,ON
***82280,20240101,347,PARK IN A FIRE ROUTE,250,0147,AT,2801 JANE ST,,,ON
***83797,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0147,OPP,1342 GERRARD ST E,,,ON
***23969,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0148,OPP,117 QUEENS WHARF RD,,,ON
***82281,20240101,347,PARK IN A FIRE ROUTE,250,0148,AT,2801 JANE ST,,,ON
***23970,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0149,OPP,125 QUEENS WHARF RD,,,ON
***23971,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0149,OPP,125 QUEENS WHARF RD,,,ON
***82282,20240101,347,PARK IN A FIRE ROUTE,250,0149,AT,2801 JANE ST,,,ON
***83798,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0149,OPP,1342 GERRARD ST E,,,ON
***23972,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0150,OPP,125 QUEENS WHARF RD,,,ON
***23973,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0151,OPP,107 QUEENS WHARF RD,,,ON
***82289,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0151,OPP,191 GRENADIER RD,,,ON
***23974,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0152,OPP,107 QUEENS WHARF RD,,,ON
***88273,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0152,OPP,178 VICTORIA ST,,,ON
***23975,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0153,OPP,107 QUEENS WHARF RD,,,ON
***23976,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0154,OPP,107 QUEENS WHARF RD,,,ON
***81584,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0156,NR,294 HIGHFIELD RD,,,NS
***79813,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0156,NR,122 SEATON ST,,,ON
***79852,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0156,S/S,DAGMAR AVE,W/O,JONES AVE,ON
***79814,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0157,NR,122 SEATON ST,,,ON
***88274,20240101,320,PARK NON-BUS-BUS PK ZNE DY/TM,150,0157,NR,244 VICTORIA ST,,,ON
***23977,20240101,3,PARK ON PRIVATE PROPERTY,75,0158,AT,170 FORT YORK BLVD,,,QC
***88275,20240101,320,PARK NON-BUS-BUS PK ZNE DY/TM,150,0159,NR,244 VICTORIA ST,,,ON
